time,velocity 
254.2,86.4284
254.4,86.4342
254.6,86.44
254.8,86.4457
255,86.4515
255.2,86.4572
255.4,86.4629
255.6,86.4686
255.8,86.4743
256,86.48
256.2,86.4857
256.4,86.4913
256.6,86.497
256.8,86.5026
257,86.5082
257.2,86.5138
257.4,86.5194
257.6,86.525
257.8,86.5306
258,86.5361
258.2,86.5417
258.4,86.5472
258.6,86.5527
258.8,86.5582
259,86.5637
259.2,86.5692
259.4,86.5747
259.6,86.5801
259.8,86.5856
260,86.591
260.2,86.5964
260.4,86.6018
260.6,86.6072
260.8,86.6126
261,86.618
261.2,86.6233
261.4,86.6287
261.6,86.634
261.8,86.6393
262,86.6447
262.2,86.65
262.4,86.6552
262.6,86.6605
262.8,86.6658
263,86.671
263.2,86.6763
263.4,86.6815
263.6,86.6867
263.8,86.6919
264,86.6971
264.2,86.7023
264.4,86.7075
264.6,86.7126
264.8,86.7178
265,86.7229
265.2,86.728
265.4,86.7331
265.6,86.7382
265.8,86.7433
266,86.7484
266.2,86.7535
266.4,86.7585
266.6,86.7636
266.8,86.7686
267,86.7736
267.2,86.7786
267.4,86.7836
267.6,86.7886
267.8,86.7936
268,86.7986
268.2,86.8035
268.4,86.8084
268.6,86.8134
268.8,86.8183
269,86.8232
269.2,86.8281
269.4,86.833
269.6,86.8379
269.8,86.8427
270,86.8476
270.2,86.8524
270.4,86.8573
270.6,86.8621
270.8,86.8669
271,86.8717
271.2,86.8765
271.4,86.8813
271.6,86.886
271.8,86.8908
272,86.8955
272.2,86.9003
272.4,86.905
272.6,86.9097
272.8,86.9144
273,86.9191
273.2,86.9238
273.4,86.9284
273.6,86.9331
273.8,86.9378
274,86.9424
274.2,86.947
274.4,86.9516
274.6,86.9562
274.8,86.9608
275,86.9654
275.2,86.97
275.4,86.9746
275.6,86.9791
275.8,86.9837
276,86.9882
276.2,86.9927
276.4,86.9973
276.6,87.0018
276.8,87.0063
277,87.0107
277.2,87.0152
277.4,87.0197
277.6,87.0241
277.8,87.0286
278,87.033
278.2,87.0375
278.4,87.0419
278.6,87.0463
278.8,87.0507
279,87.0551
279.2,87.0594
279.4,87.0638
279.6,87.0682
279.8,87.0725
280,87.0768
280.2,87.0812
280.4,87.0855
280.6,87.0898
280.8,87.0941
281,87.0984
281.2,87.1027
281.4,87.1069
281.6,87.1112
281.8,87.1154
282,87.1197
282.2,87.1239
282.4,87.1281
282.6,87.1323
282.8,87.1365
283,87.1407
283.2,87.1449
283.4,87.1491
283.6,87.1532
283.8,87.1574
284,87.1615
284.2,87.1657
284.4,87.1698
284.6,87.1739
284.8,87.178
285,87.1821
285.2,87.1862
285.4,87.1903
285.6,87.1944
285.8,87.1984
286,87.2025
286.2,87.2065
286.4,87.2106
286.6,87.2146
286.8,87.2186
287,87.2226
287.2,87.2266
287.4,87.2306
287.6,87.2346
287.8,87.2386
288,87.2425
288.2,87.2465
288.4,87.2504
288.6,87.2544
288.8,87.2583
289,87.2622
289.2,87.2661
289.4,87.27
289.6,87.2739
289.8,87.2778
290,87.2817
290.2,87.2855
290.4,87.2894
290.6,87.2932
290.8,87.2971
291,87.3009
291.2,87.3047
291.4,87.3086
291.6,87.3124
291.8,87.3162
292,87.3199
292.2,87.3237
292.4,87.3275
292.6,87.3313
292.8,87.335
293,87.3388
293.2,87.3425
293.4,87.3462
293.6,87.3499
293.8,87.3537
294,87.3574
294.2,87.3611
294.4,87.3647
294.6,87.3684
294.8,87.3721
295,87.3758
295.2,87.3794
295.4,87.3831
295.6,87.3867
295.8,87.3903
296,87.3939
296.2,87.3976
296.4,87.4012
296.6,87.4048
296.8,87.4084
297,87.4119
297.2,87.4155
297.4,87.4191
297.6,87.4226
297.8,87.4262
298,87.4297
298.2,87.4332
298.4,87.4368
298.6,87.4403
298.8,87.4438
299,87.4473
299.2,87.4508
299.4,87.4543
299.6,87.4578
299.8,87.4612
300,87.4647
300.2,87.4681
300.4,87.4716
300.6,87.475
300.8,87.4785
301,87.4819
301.2,87.4853
301.4,87.4887
301.6,87.4921
301.8,87.4955
302,87.4989
302.2,87.5023
302.4,87.5056
302.6,87.509
302.8,87.5123
303,87.5157
303.2,87.519
303.4,87.5224
303.6,87.5257
303.8,87.529
304,87.5323
304.2,87.5356
304.4,87.5389
304.6,87.5422
304.8,87.5455
305,87.5488
305.2,87.552
305.4,87.5553
305.6,87.5585
305.8,87.5618
306,87.565
306.2,87.5682
306.4,87.5715
306.6,87.5747
306.8,87.5779
307,87.5811
307.2,87.5843
307.4,87.5875
307.6,87.5906
307.8,87.5938
308,87.597
308.2,87.6001
308.4,87.6033
308.6,87.6064
308.8,87.6096
309,87.6127
309.2,87.6158
309.4,87.6189
309.6,87.622
309.8,87.6251
310,87.6282
310.2,87.6313
310.4,87.6344
310.6,87.6375
310.8,87.6405
311,87.6436
311.2,87.6466
311.4,87.6497
311.6,87.6527
311.8,87.6557
312,87.6588
312.2,87.6618
312.4,87.6648
312.6,87.6678
312.8,87.6708
313,87.6738
313.2,87.6768
313.4,87.6797
313.6,87.6827
313.8,87.6857
314,87.6886
314.2,87.6916
314.4,87.6945
314.6,87.6975
314.8,87.7004
315,87.7033
315.2,87.7062
315.4,87.7092
315.6,87.7121
315.8,87.715
316,87.7178
316.2,87.7207
316.4,87.7236
316.6,87.7265
316.8,87.7293
317,87.7322
317.2,87.7351
317.4,87.7379
317.6,87.7407
317.8,87.7436
318,87.7464
318.2,87.7492
318.4,87.752
318.6,87.7548
318.8,87.7576
319,87.7604
319.2,87.7632
319.4,87.766
319.6,87.7688
319.8,87.7716
320,87.7743
320.2,87.7771
320.4,87.7798
320.6,87.7826
320.8,87.7853
321,87.7881
321.2,87.7908
321.4,87.7935
321.6,87.7962
321.8,87.7989
322,87.8016
322.2,87.8043
322.4,87.807
322.6,87.8097
322.8,87.8124
323,87.815
323.2,87.8177
323.4,87.8204
323.6,87.823
323.8,87.8257
324,87.8283
324.2,87.8309
324.4,87.8336
324.6,87.8362
324.8,87.8388
325,87.8414
325.2,87.844
325.4,87.8466
325.6,87.8492
325.8,87.8518
326,87.8544
326.2,87.857
326.4,87.8596
326.6,87.8621
326.8,87.8647
327,87.8672
327.2,87.8698
327.4,87.8723
327.6,87.8749
327.8,87.8774
328,87.8799
328.2,87.8824
